"cell_id","comment","POS"
"irr-indep.neg.3.pl.neut",,"verb"
"irr-indep.neg.3.pl.mult",,"verb"
"irr-indep.neg.pass.1.sg.neut",,"verb"
"irr-indep.neg.pass.1.sg.mult",,"verb"
"irr-indep.neg.pass.1.sg.dist",,"verb"
"irr-indep.neg.pass.2.sg.neut",,"verb"
"irr-indep.neg.pass.2.sg.mult",,"verb"
"irr-indep.neg.pass.2.sg.dist",,"verb"
"irr-indep.neg.pass.3.sg.neut",,"verb"
"irr-indep.neg.pass.3.sg.mult",,"verb"
"irr-indep.neg.pass.3.sg.dist",,"verb"
"irr-indep.neg.pass.1.pl.neut",,"verb"
"irr-indep.neg.pass.1.pl.mult",,"verb"
"irr-indep.neg.pass.2.pl.neut",,"verb"
"irr-indep.neg.pass.2.pl.mult",,"verb"
"irr-indep.neg.pass.3.pl.neut",,"verb"
"irr-indep.neg.pass.3.pl.mult",,"verb"
"inf.sg.pos.neut",,"verb"
"inf.sg.pos.mult",,"verb"
"inf.sg.pos.dist",,"verb"
"inf.pl.pos.neut",,"verb"
"inf.pl.pos.mult",,"verb"
"inf.sg.neg.neut",,"verb"
"inf.sg.neg.mult",,"verb"
"inf.sg.neg.dist",,"verb"
"inf.pl.neg.neut",,"verb"
"inf.pl.neg.mult",,"verb"
"sub-nmlz.sg.pos.neut",,"verb"
"sub-nmlz.sg.pos.mult",,"verb"
"sub-nmlz.sg.pos.dist",,"verb"
"sub-nmlz.pl.pos.neut",,"verb"
"sub-nmlz.pl.pos.mult",,"verb"
"sub-nmlz.sg.neg.neut",,"verb"
"sub-nmlz.sg.neg.mult",,"verb"
"sub-nmlz.sg.neg.dist",,"verb"
"sub-nmlz.pl.neg.neut",,"verb"
"sub-nmlz.pl.neg.mult",,"verb"
"sub-nmlz.sg.pos.pass.neut",,"verb"
"sub-nmlz.sg.pos.pass.mult",,"verb"
"sub-nmlz.sg.pos.pass.dist",,"verb"
"sub-nmlz.pl.pos.pass.neut",,"verb"
"sub-nmlz.pl.pos.pass.mult",,"verb"
"sub-nmlz.sg.neg.pass.neut",,"verb"
"sub-nmlz.sg.neg.pass.mult",,"verb"
"sub-nmlz.sg.neg.pass.dist",,"verb"
"sub-nmlz.pl.neg.pass.neut",,"verb"
"sub-nmlz.pl.neg.pass.mult",,"verb"
"obl-nmlz.sg.pos.neut",,"verb"
"obl-nmlz.sg.pos.mult",,"verb"
"obl-nmlz.sg.pos.dist",,"verb"
"obl-nmlz.pl.pos.neut",,"verb"
"obl-nmlz.pl.pos.mult",,"verb"
"obl-nmlz.sg.neg.neut",,"verb"
"obl-nmlz.sg.neg.mult",,"verb"
"obl-nmlz.sg.neg.dist",,"verb"
"obl-nmlz.pl.neg.neut",,"verb"
"obl-nmlz.pl.neg.mult",,"verb"
"obj-nmlz.sg.pos.neut",,"verb"
"obj-nmlz.sg.pos.mult",,"verb"
"obj-nmlz.sg.pos.dist",,"verb"
"obj-nmlz.pl.pos.neut",,"verb"
"obj-nmlz.pl.pos.mult",,"verb"
"obj-nmlz.sg.neg.neut",,"verb"
"obj-nmlz.sg.neg.mult",,"verb"
"obj-nmlz.sg.neg.dist",,"verb"
"obj-nmlz.pl.neg.neut",,"verb"
"obj-nmlz.pl.neg.mult",,"verb"
"imp.sg.pos.neut",,"verb"
"imp.sg.pos.mult",,"verb"
"imp.sg.pos.dist",,"verb"
"imp.pl.pos.neut",,"verb"
"imp.pl.pos.mult",,"verb"
"imp.sg.neg.neut",,"verb"
"imp.sg.neg.mult",,"verb"
"imp.sg.neg.dist",,"verb"
"imp.pl.neg.neut",,"verb"
"imp.pl.neg.mult",,"verb"
